sid	cluster	model	bp	tp	n_full	depth	n_tools	centre	order	size_class	n_dom	domains	best_e	max_hmm_cov	has_dom	n_strong	strong_dom	best_cov	min_len	meets_len	tier	n_core	core_dom	core_cov
c00777_single	777	single	415	LTR	44.0	56.0	1.0	421.0	LTR	300-600	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00778_single	778	single	427	DNA/CMC	28.0	54.0	1.0	427.0	DNA	300-600	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00786_single	786	single	646	DNA/CMC	29.0	39.0	2.0	588.0	DNA	600-1200	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00801_single	801	single	556	LINE/I-Jockey	147.0	54.0	2.0	385.0	LINE	300-600	0				False	0			2500.0	False	F · too short for class (MITE/fragment scale)	0		
c00807_single	807	single	336	PLE	39.0	44.0	1.0	336.0	PLE	300-600	0				False	0			1200.0	False	F · too short for class (MITE/fragment scale)	0		
c00826_single	826	single	539	LINE/I-Jockey	22.0	32.0	1.0	369.0	LINE	300-600	0				False	0			2500.0	False	F · too short for class (MITE/fragment scale)	0		
c00830_single	830	single	1778	PLE	12.0	23.0	2.0	1630.0	PLE	1200-2500	0				False	0			1200.0	True	D · oversized for class, NO domain (suspect: chimera/rDNA)	0		
c00848_single	848	single	1294	LINE/I-Jockey	25.0	31.0	2.0	950.0	LINE	1200-2500	1	RVT_1	3.3e-21	0.625	True	1	RVT_1	0.625	2500.0	False	B · core domain, short for class	1	RVT_1	0.625
c00859_single	859	single	502	LINE/I-Jockey	16.0	38.0	1.0	364.0	LINE	300-600	0				False	0			2500.0	False	F · too short for class (MITE/fragment scale)	0		
c00871_single	871	single	827	LINE/I-Jockey	29.0	39.0	2.0	663.0	LINE	600-1200	0				False	0			2500.0	False	F · too short for class (MITE/fragment scale)	0		
c00873_single	873	single	966	LINE/I-Jockey	41.0	48.0	2.0	822.0	LINE	600-1200	0				False	0			2500.0	False	F · too short for class (MITE/fragment scale)	0		
c00875_single	875	single	1690	LINE/I-Jockey	17.0	30.0	2.0	1169.5	LINE	1200-2500	1	RVT_1	1e-41	0.97	True	1	RVT_1	0.97	2500.0	False	B · core domain, short for class	1	RVT_1	0.97
c00878_single	878	single	2144	LINE/L1	9.0	16.0	1.0	2165.0	LINE	1200-2500	1	RVT_1	6.1e-29	0.84	True	1	RVT_1	0.84	2500.0	False	B · core domain, short for class	1	RVT_1	0.84
c00883_single	883	single	1438	Unknown	27.0	29.0	3.0	1371.0	Unknown	1200-2500	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c00884_single	884	single	4222	Unknown	27.0	25.0	3.0	4105.0	Unknown	>2500 bp	1	DDE_3	6.9e-08	0.2945205479452055	True	0			2000.0	True	D · oversized for class, NO domain (suspect: chimera/rDNA)	0		
c00885_single	885	single	650	Unknown	106.0	52.0	2.0	540.0	Unknown	600-1200	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c00886_single	886	single	1003	DNA/hAT	58.0	60.0	3.0	992.0	DNA	600-1200	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00890_single	890	single	5328	Unknown	251.0	5.0	2.0	5409.0	Unknown	>2500 bp	0				False	0			2000.0	True	D · oversized for class, NO domain (suspect: chimera/rDNA)	0		
c00896_single	896	single	2753	Unknown	752.0	4.0	2.0	2836.0	Unknown	>2500 bp	0				False	0			2000.0	True	D · oversized for class, NO domain (suspect: chimera/rDNA)	0		
c00897_single	897	single	8632	LTR/Gypsy	7.0	12.0	2.0	8624.5	LTR	>2500 bp	6	Integrase_H2C2,PNMA_C,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.7e-37	1.0	True	6	Integrase_H2C2,PNMA_C,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0	4000.0	True	A · autonomous (core domain + class size)	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0
c00898_single	898	single	1281	DNA/hAT	65.0	55.0	2.0	1232.5	DNA	1200-2500	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00899_single	899	single	247	LINE/L1	2721.0	64.0	1.0	247.0	LINE	<300 bp	0				False	0			2500.0	False	F · too short for class (MITE/fragment scale)	0		
c00908_single	908	single	1066	Unknown	77.0	65.0	3.0	1057.0	Unknown	600-1200	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c00911_single	911	single	2417	Unknown	63.0	42.0	3.0	2386.0	Unknown	1200-2500	0				False	0			2000.0	True	D · oversized for class, NO domain (suspect: chimera/rDNA)	0		
c00915_single	915	single	622	LTR	117.0	60.0	3.0	616.0	LTR	600-1200	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00918_single	918	single	1329	DNA	76.0	59.0	2.0	1133.5	DNA	1200-2500	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00920_single	920	single	728	Unknown	213.0	67.0	3.0	720.0	Unknown	600-1200	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c00924_single	924	single	82	DNA/MULE	1773.0	49.0	1.0	62.0	DNA	<300 bp	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00931_single	931	single	1368	DNA/hAT	112.0	67.0	3.0	1364.0	DNA	1200-2500	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00933_single	933	single	257	RC	272.0	49.0	1.0	257.5	RC	<300 bp	0				False	0			3000.0	False	F · too short for class (MITE/fragment scale)	0		
c00936_single	936	single	4281	LTR/Gypsy	4.0	17.0	2.0	4262.5	LTR	>2500 bp	6	DUF7041,Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.3e-20	0.9830508474576272	True	6	DUF7041,Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	0.9830508474576272	4000.0	True	A · autonomous (core domain + class size)	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	0.9830508474576272
c00938_single	938	single	261	DNA/MULE	133.0	67.0	1.0	203.0	DNA	<300 bp	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00940_single	940	single	4594	LTR/Copia	6.0	6.0	2.0	4359.0	LTR	>2500 bp	5	RVT_2,Retrotran_gag_2,SH3_retrovirus,gag_pre-integrs,rve	5.7e-78	0.9959016393442623	True	5	RVT_2,Retrotran_gag_2,SH3_retrovirus,gag_pre-integrs,rve	0.9959016393442623	4000.0	True	A · autonomous (core domain + class size)	2	RVT_2,rve	0.9959016393442623
c00945_single	945	single	4154	Unknown	40.0	27.0	3.0	4152.0	Unknown	>2500 bp	0				False	0			2000.0	True	D · oversized for class, NO domain (suspect: chimera/rDNA)	0		
c00952_single	952	single	2540	Unknown	22.0	21.0	3.0	2392.0	Unknown	>2500 bp	0				False	0			2000.0	True	D · oversized for class, NO domain (suspect: chimera/rDNA)	0		
c00954_single	954	single	342	LTR	333.0	68.0	2.0	332.0	LTR	300-600	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00955_single	955	single	673	RC	422.0	55.0	2.0	670.5	RC	600-1200	0				False	0			3000.0	False	F · too short for class (MITE/fragment scale)	0		
c00962_single	962	single	1408	RC	47.0	49.0	3.0	1396.0	RC	1200-2500	0				False	0			3000.0	False	F · too short for class (MITE/fragment scale)	0		
c00963_single	963	single	534	DNA/PIF	1028.0	70.0	3.0	534.0	DNA	300-600	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00968_single	968	single	761	LTR	74.0	68.0	3.0	762.0	LTR	600-1200	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00970_single	970	single	513	DNA/hAT	3325.0	72.0	3.0	511.0	DNA	300-600	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00974_single	974	single	3085	LTR/Pao	5.0	15.0	3.0	3032.0	LTR	>2500 bp	1	DUF1759	1.1e-11	0.9459459459459459	True	1	DUF1759	0.9459459459459459	4000.0	False	C · accessory domain only (likely truncated)	0		
c00981_single	981	single	1086	LTR	109.0	66.0	3.0	1095.0	LTR	600-1200	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00986_single	986	single	7532	LTR/Pao	5.0	20.0	3.0	7531.0	LTR	>2500 bp	4	DUF1759,Integrase_H2C2,Pao_retrotransp,rve	9.2e-45	1.0	True	4	DUF1759,Integrase_H2C2,Pao_retrotransp,rve	1.0	4000.0	True	A · autonomous (core domain + class size)	3	Integrase_H2C2,Pao_retrotransp,rve	1.0
c00987_single	987	single	950	DNA/hAT	537.0	72.0	3.0	937.0	DNA	600-1200	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00989_single	989	single	467	LTR	789.0	53.0	2.0	466.5	LTR	300-600	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c00996_single	996	single	692	DNA/hAT	69.0	65.0	3.0	617.0	DNA	600-1200	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c00998_single	998	single	1272	LTR/DIRS	114.0	5.0	2.0	1902.0	LTR	1200-2500	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c01004_single	1004	single	665	LINE/RTE	9427.0	15.0	2.0	435.0	LINE	600-1200	0				False	0			2500.0	False	F · too short for class (MITE/fragment scale)	0		
c01005_single	1005	single	844	LTR	38.0	48.0	2.0	796.0	LTR	600-1200	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c01006_single	1006	single	310	RC	186.0	68.0	2.0	307.5	RC	300-600	0				False	0			3000.0	False	F · too short for class (MITE/fragment scale)	0		
c01011_single	1011	single	531	LTR/Pao	13.0	19.0	1.0	521.5	LTR	300-600	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c01013_single	1013	single	819	Unknown	28.0	30.0	3.0	1424.0	Unknown	600-1200	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c01020_single	1020	single	373	LINE/I-Jockey	1076.0	64.0	2.0	402.5	LINE	300-600	0				False	0			2500.0	False	F · too short for class (MITE/fragment scale)	0		
c01021_single	1021	single	5105	LINE/I-Jockey	20.0	23.0	2.0	4029.5	LINE	>2500 bp	3	Exo_endo_phos,Exo_endo_phos_2,RVT_1	2.5e-34	0.9866071428571429	True	3	Exo_endo_phos,Exo_endo_phos_2,RVT_1	0.9866071428571429	2500.0	True	A · autonomous (core domain + class size)	3	Exo_endo_phos,Exo_endo_phos_2,RVT_1	0.9866071428571429
c01029_single	1029	single	5691	LINE/L1	7.0	15.0	3.0	5670.0	LINE	>2500 bp	3	Exo_endo_phos,RVT_1,zf-RVT	3.2e-36	1.0	True	3	Exo_endo_phos,RVT_1,zf-RVT	1.0	2500.0	True	A · autonomous (core domain + class size)	3	Exo_endo_phos,RVT_1,zf-RVT	1.0
c01041_single	1041	single	709	Unknown	3367.0	49.0	3.0	483.5	Unknown	600-1200	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c01042_single	1042	single	298	Unknown	2749.0	59.0	2.0	298.0	Unknown	<300 bp	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c01043_single	1043	single	972	DNA/hAT	103.0	63.0	3.0	957.0	DNA	600-1200	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c01045_single	1045	single	364	LTR/DIRS	2139.0	62.0	2.0	358.0	LTR	300-600	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c01046_single	1046	single	259	RC	1039.0	63.0	2.0	253.0	RC	<300 bp	0				False	0			3000.0	False	F · too short for class (MITE/fragment scale)	0		
c01047_single	1047	single	964	DNA/hAT	254.0	63.0	3.0	963.0	DNA	600-1200	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c01048_single	1048	single	377	DNA/TcMar	3717.0	67.0	3.0	367.0	DNA	300-600	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c01049_single	1049	single	269	Unknown	1545.0	66.0	2.0	269.0	Unknown	<300 bp	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c01059_single	1059	single	336	DNA/hAT	1932.0	61.0	2.0	330.0	DNA	300-600	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c01061_single	1061	single	324	LTR	1472.0	53.0	2.0	324.0	LTR	300-600	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c01062_single	1062	single	2209	Unknown	159.0	6.0	2.0	2176.5	Unknown	1200-2500	0				False	0			2000.0	True	D · oversized for class, NO domain (suspect: chimera/rDNA)	0		
c01063_single	1063	single	774	Unknown	74.0	55.0	1.0	882.0	Unknown	600-1200	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c01067_single	1067	single	824	LTR/Gypsy	62.0	39.0	2.0	825.5	LTR	600-1200	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c01068_single	1068	single	458	DNA/hAT	1386.0	72.0	3.0	451.0	DNA	300-600	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c01069_single	1069	single	2396	LTR	33.0	14.0	3.0	2378.0	LTR	1200-2500	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c01073_single	1073	single	1116	Unknown	138.0	34.0	3.0	1104.0	Unknown	600-1200	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c01074_single	1074	single	4788	LTR/Gypsy	12.0	8.0	3.0	4411.0	LTR	>2500 bp	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	2.7e-22	0.985	True	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	0.985	4000.0	True	A · autonomous (core domain + class size)	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	0.985
c01075_single	1075	single	7693	LTR/Pao	13.0	12.0	2.0	7495.0	LTR	>2500 bp	4	DUF1759,Integrase_H2C2,Pao_retrotransp,rve	7e-50	1.0	True	4	DUF1759,Integrase_H2C2,Pao_retrotransp,rve	1.0	4000.0	True	A · autonomous (core domain + class size)	3	Integrase_H2C2,Pao_retrotransp,rve	1.0
