sid	cluster	model	bp	tp	n_full	depth	n_tools	centre	order	size_class	n_dom	domains	best_e	max_hmm_cov	has_dom	n_strong	strong_dom	best_cov	min_len	meets_len	tier	n_core	core_dom	core_cov	pooled_full_len	cand_tools	lint_ok	queue_rank
c01191_model1_7598bp	1191	model1_7598bp	8384	LTR/Gypsy	14.0	11.0	4.0	7597.5	LTR	>2500 bp	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	4e-28	1.0	True	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0	4000.0	True	A · autonomous (core domain + class size)	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0	31.0	5.0	True	11
c01074_single	1074	single	4788	LTR/Gypsy	12.0	8.0	3.0	4411.0	LTR	>2500 bp	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	2.7e-22	0.985	True	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	0.985	4000.0	True	A · autonomous (core domain + class size)	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	0.985	21.0	4.0	True	12
c01123_single	1123	single	8365	LTR/Gypsy	11.0	10.0	3.0	7757.0	LTR	>2500 bp	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.5e-35	1.0	True	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0	4000.0	True	A · autonomous (core domain + class size)	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0	25.0	4.0	True	13
c01141_single	1141	single	7065	LTR/Gypsy	11.0	9.0	3.0	5071.0	LTR	>2500 bp	6	Arc_N-lobe,Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	6.7e-41	1.0	True	6	Arc_N-lobe,Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0	4000.0	True	A · autonomous (core domain + class size)	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0	29.0	4.0	True	14
c01144_single	1144	single	9145	LTR/Gypsy	10.0	16.0	4.0	9094.0	LTR	>2500 bp	6	Integrase_H2C2,PNMA_C,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.3e-39	1.0	True	6	Integrase_H2C2,PNMA_C,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0	4000.0	True	A · autonomous (core domain + class size)	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0	16.0	5.0	True	15
c01086_single	1086	single	6905	LTR/Gypsy	8.0	5.0	3.0	6888.0	LTR	>2500 bp	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	8.5e-36	1.0	True	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0	4000.0	True	A · autonomous (core domain + class size)	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0	20.0	4.0	True	16
c01114_single	1114	single	3467	LINE/I-Jockey	25.0	16.0	2.0	3477.0	LINE	>2500 bp	3	Exo_endo_phos,Exo_endo_phos_2,RVT_1	1e-28	0.99	True	3	Exo_endo_phos,Exo_endo_phos_2,RVT_1	0.99	2500.0	True	A · autonomous (core domain + class size)	3	Exo_endo_phos,Exo_endo_phos_2,RVT_1	0.99	35.0	4.0	True	17
c01021_single	1021	single	5105	LINE/I-Jockey	20.0	23.0	2.0	4029.5	LINE	>2500 bp	3	Exo_endo_phos,Exo_endo_phos_2,RVT_1	2.5e-34	0.9866071428571429	True	3	Exo_endo_phos,Exo_endo_phos_2,RVT_1	0.9866071428571429	2500.0	True	A · autonomous (core domain + class size)	3	Exo_endo_phos,Exo_endo_phos_2,RVT_1	0.9866071428571429	8.0	3.0	True	18
c00848_single	848	single	1294	LINE/I-Jockey	25.0	31.0	2.0	950.0	LINE	1200-2500	1	RVT_1	3.3e-21	0.625	True	1	RVT_1	0.625	2500.0	False	B · core domain, short for class	1	RVT_1	0.625				19
c00896_single	896	single	2753	Unknown	752.0	4.0	2.0	2836.0	Unknown	>2500 bp	0				False	0			2000.0	True	D · long for class, NO domain (suspect: chimera/rDNA)	0						20
