# hit ID  target name         accession  query name           accession   hmm len  hmm from    hmm to   seq len  ali from    ali to    E-value  score  bias   PID  description of target
#------- ------------------- ---------- -------------------- ---------- --------- --------- --------- --------- --------- ---------  --------- ------ ----- ----- ---------------------
      21 c01145_single        -          RVT_1                PF00078.33      200         1       200       6307      4520      4996   2.1e-33  111.3   0.0 26.37 -
      22 c01191_single        -          RVT_1                PF00078.33      200         1       197       8388      4424      3951   2.2e-32  107.9   0.0 26.77 -
      23 c01169_single        -          RVT_1                PF00078.33      200        60       200       5372      3901      4263   6.9e-31  103.1   0.0 29.08 -
      24 c01128_single        -          RVT_1                PF00078.33      200         1       199      13260      7476      7970   4.2e-29   97.2   0.0 22.11 -
      25 c00878_single        -          RVT_1                PF00078.33      200        31       198       2144         6       647   6.1e-29   96.7   0.0 24.30 -
      26 c01114_single        -          RVT_1                PF00078.33      200         2       199       3467      2003      2749     1e-28   96.0   0.0 24.40 -
      27 c00669_single        -          RVT_1                PF00078.33      200         1       199       6095      2637      3125   1.1e-28   95.9   0.0 25.63 -
      28 c01191_model1_7598bp -          RVT_1                PF00078.33      200         1       195       8384      4421      3954     4e-28   94.1   0.0 23.47 -
      29 c01182_single        -          RVT_1                PF00078.33      200         5       198       3638      1572      2315   1.8e-26   88.6   0.0 17.86 -
      30 c00616_single        -          RVT_1                PF00078.33      200         5       200       5803      2783      3262   5.4e-23   77.3   0.0 22.96 -
      31 c01074_single        -          RVT_1                PF00078.33      200         2       198       4788      2974      2489   2.7e-22   75.0   0.0 26.96 -
      32 c00848_single        -          RVT_1                PF00078.33      200        64       188       1294         6       434   3.3e-21   71.5   0.0 28.47 -
      33 c00936_single        -          RVT_1                PF00078.33      200         1       169       4281      2699      2310   1.5e-19   66.0   0.0 23.08 -
      34 c01086_single        -          RVT_1                PF00078.33      200         2       139       6905      2984      3295   5.6e-18   60.9   0.0 24.46 -
      35 c01184_single        -          RVT_1                PF00078.33      200        58       139       7687      4074      4298   6.9e-08   28.0   0.0 20.48 -
      36 c01122_model1_6171bp -          RVT_1                PF00078.33      200        57       179       7697      4038      4406   1.6e-06   23.6   0.0 15.38 -
       1 c01075_single        -          Pao_retrotransp      PF05380.19      162         1       162       7693      4825      5316     7e-50  165.6   0.0 41.82 -
       2 c01177_single        -          Pao_retrotransp      PF05380.19      162         1       162       7694      4832      5323   1.7e-49  164.4   0.0 40.00 -
       3 c00986_single        -          Pao_retrotransp      PF05380.19      162         1       162       7532      4574      5065   9.2e-45  149.0   0.0 31.52 -
       4 c01199_single        -          Pao_retrotransp      PF05380.19      162        10       162       7481      3060      2596   8.4e-42  139.4   0.0 36.54 -
       5 c01122_model1_6171bp -          Pao_retrotransp      PF05380.19      162         1       108       7697      4591      4923   2.5e-29   98.8   0.0 31.53 -
       6 c01122_single        -          Pao_retrotransp      PF05380.19      162         1       108       7684      4591      4923   2.5e-29   98.8   0.0 31.53 -
       7 c01176_single        -          Pao_retrotransp      PF05380.19      162        75       161       6062      2663      2409   1.1e-21   73.9   0.0 39.08 -
       8 c01164_single        -          Pao_retrotransp      PF05380.19      162        30       106       7896      5069      5314   7.1e-15   51.8   0.0 35.37 -
       9 c01122_single        -          Pao_retrotransp      PF05380.19      162       101       162       7684      4899      5081   1.7e-13   47.3   0.0 35.48 -
      10 c01122_model1_6171bp -          Pao_retrotransp      PF05380.19      162       101       162       7697      4899      5081   6.9e-12   42.1   0.0 33.87 -
      11 c01176_single        -          Pao_retrotransp      PF05380.19      162         1        61       6062      2895      2713   1.5e-11   41.0   0.0 34.43 -
      12 c01164_single        -          Pao_retrotransp      PF05380.19      162       106       162       7896      5314      5481     4e-11   39.6   0.1 36.84 -
      13 c01184_single        -          Pao_retrotransp      PF05380.19      162         1        49       7687      4621      4767     1e-09   35.0   0.0 36.73 -
      14 c01164_single        -          Pao_retrotransp      PF05380.19      162         2        36       7896      4984      5088   9.6e-09   31.9   0.0 48.57 -
      15 c01184_single        -          Pao_retrotransp      PF05380.19      162        48       100       7687      4766      4936   8.4e-06   22.3   0.0 28.07 -
       1 c00940_single        -          RVT_2                PF07727.20      244         1       243       4594      1778      1044   5.7e-78  257.9   0.1 39.59 -
       2 c01196_single        -          RVT_2                PF07727.20      244         1       216       4487      2752      3402   1.9e-72  239.8   0.3 42.20 -
       1 c00669_single        -          RVT_3                PF13456.13      123        52       120       6095      3585      3797     2e-06   24.7   0.0 29.58 -
       1 c01029_single        -          zf-RVT               PF13966.12       85        17        85       5691      4633      4839   1.9e-10   38.5   1.5 31.88 -
       2 c01182_single        -          zf-RVT               PF13966.12       85        38        80       3638      2874      3005   5.5e-06   24.2   0.1 27.27 -
       3 c00428_single        -          zf-RVT               PF13966.12       85        18        85        738       198       401   7.4e-06   23.8   2.6 20.59 -
       1 c01169_model1_5363bp -          RT_RNaseH            PF17917.8       105         1       105       5364      4528      4839   1.3e-38  128.3   0.0 53.33 -
       2 c00084_single        -          RT_RNaseH            PF17917.8       105         1       105       4434      2524      2847   1.6e-37  124.7   0.0 54.63 -
       3 c01203_model1_5207bp -          RT_RNaseH            PF17917.8       105         1       105       6010      2956      3279   2.7e-37  124.0   0.0 54.63 -
       4 c01203_single        -          RT_RNaseH            PF17917.8       105         1       105       5220      2936      3259   1.5e-36  121.7   0.0 53.70 -
       5 c01198_single        -          RT_RNaseH            PF17917.8       105         1       105       5485      3083      3406   5.4e-36  119.8   0.0 51.85 -
       6 c01086_single        -          RT_RNaseH            PF17917.8       105         5       105       6905      3735      4034   8.5e-36  119.2   0.0 56.44 -
       7 c01141_single        -          RT_RNaseH            PF17917.8       105         2       105       7065      2846      2535   2.2e-33  111.4   0.1 48.08 -
       8 c01089_single        -          RT_RNaseH            PF17917.8       105         1       105       9324      5221      5535   2.7e-32  108.0   0.0 44.34 -
       9 c01092_single        -          RT_RNaseH            PF17917.8       105         1       105       8181      4571      4894   4.8e-32  107.2   0.0 43.12 -
      10 c01144_single        -          RT_RNaseH            PF17917.8       105         1       105       9145      4036      3722   1.5e-31  105.6   0.0 45.28 -
      11 c00264_single        -          RT_RNaseH            PF17917.8       105         1       105       7735      5110      5424   8.9e-31  103.1   0.0 44.34 -
      12 c01201_model1_6150bp -          RT_RNaseH            PF17917.8       105         1       105       7056      3004      2684   1.8e-30  102.1   0.0 49.54 -
      13 c01183_model1_7363bp -          RT_RNaseH            PF17917.8       105         1       105       7372      4096      4419   5.1e-30  100.7   0.0 43.12 -
      14 c01094_single        -          RT_RNaseH            PF17917.8       105         2       105       7221      4107      4424   6.7e-30  100.3   0.1 43.52 -
      15 c01123_single        -          RT_RNaseH            PF17917.8       105         1       105       8365      3573      3250   1.4e-29   99.3   0.0 43.12 -
      16 c00897_single        -          RT_RNaseH            PF17917.8       105         1       105       8632      4857      5171   1.6e-29   99.1   0.0 44.34 -
      17 c01168_single        -          RT_RNaseH            PF17917.8       105         1       105       7049      3917      4240   1.8e-29   98.9   0.0 43.12 -
      18 c01191_single        -          RT_RNaseH            PF17917.8       105         1       105       8388      3595      3272   2.1e-28   95.5   0.0 43.12 -
      19 c01173_single        -          RT_RNaseH            PF17917.8       105         2       105       8036      4422      4739   6.6e-27   90.7   0.0 50.00 -
      20 c01191_model1_7598bp -          RT_RNaseH            PF17917.8       105         1       105       8384      3598      3275     1e-26   90.1   0.0 42.20 -
      21 c01169_single        -          RT_RNaseH            PF17917.8       105        31       105       5372      4615      4839   4.6e-25   84.7   0.1 49.33 -
      22 c00936_single        -          RT_RNaseH            PF17917.8       105        28       105       4281      1867      1628   1.3e-20   70.4   0.0 41.25 -
      23 c01074_single        -          RT_RNaseH            PF17917.8       105         1        66       4788      2219      2037   7.5e-17   58.3   0.0 50.00 -
      24 c01128_single        -          RT_RNaseH            PF17917.8       105         1        88      13260      8253      8513   8.5e-13   45.3   0.2 26.14 -
      25 c01074_single        -          RT_RNaseH            PF17917.8       105        57       105       4788      2067      1915   1.5e-10   38.1   0.0 35.29 -
      26 c01145_single        -          RT_RNaseH            PF17917.8       105        30        55       6307      5346      5423     2e-06   24.8   0.0 50.00 -
       1 c01203_model1_5207bp -          RT_RNaseH_2          PF17919.8       100         1        98       6010      2881      3183   2.6e-37  124.2   0.0 52.48 -
       2 c00084_single        -          RT_RNaseH_2          PF17919.8       100         1        99       4434      2449      2754   6.8e-37  122.9   0.0 50.00 -
       3 c01198_single        -          RT_RNaseH_2          PF17919.8       100         1        97       5485      3008      3307   1.6e-35  118.5   0.0 53.00 -
       4 c01169_model1_5363bp -          RT_RNaseH_2          PF17919.8       100         1       100       5364      4453      4749   2.7e-35  117.7   0.0 51.00 -
       5 c01203_single        -          RT_RNaseH_2          PF17919.8       100         1       100       5220      2861      3169   5.2e-35  116.8   0.0 51.46 -
       6 c01094_single        -          RT_RNaseH_2          PF17919.8       100         1       100       7221      4029      4337   2.1e-34  114.9   0.1 50.96 -
       7 c01089_single        -          RT_RNaseH_2          PF17919.8       100         1       100       9324      5146      5445   1.4e-33  112.2   0.0 46.53 -
       8 c01201_model1_6150bp -          RT_RNaseH_2          PF17919.8       100         1       100       7056      3079      2771   1.8e-33  111.9   0.0 57.69 -
       9 c01144_single        -          RT_RNaseH_2          PF17919.8       100         1       100       9145      4111      3812   3.6e-33  110.9   0.0 47.52 -
      10 c01086_single        -          RT_RNaseH_2          PF17919.8       100         1       100       6905      3648      3944   1.7e-32  108.7   0.0 53.00 -
      11 c00897_single        -          RT_RNaseH_2          PF17919.8       100         1       100       8632      4782      5081   2.6e-32  108.2   0.0 47.52 -
      12 c01141_single        -          RT_RNaseH_2          PF17919.8       100         1       100       7065      2924      2625   4.3e-32  107.5   0.0 50.00 -
      13 c00264_single        -          RT_RNaseH_2          PF17919.8       100         1       100       7735      5035      5334   6.2e-32  106.9   0.0 46.53 -
      14 c01173_single        -          RT_RNaseH_2          PF17919.8       100         1       100       8036      4344      4652   9.4e-32  106.4   0.0 56.73 -
      15 c01092_single        -          RT_RNaseH_2          PF17919.8       100         1        99       8181      4496      4801     1e-30  103.0   0.0 43.69 -
      16 c01123_single        -          RT_RNaseH_2          PF17919.8       100         1        95       8365      3648      3358     2e-30  102.1   0.0 47.96 -
      17 c01168_single        -          RT_RNaseH_2          PF17919.8       100         1       100       7049      3842      4150   8.6e-29   96.9   0.0 45.19 -
      18 c01183_model1_7363bp -          RT_RNaseH_2          PF17919.8       100         1       100       7372      4021      4329     1e-28   96.6   0.0 45.19 -
      19 c01191_single        -          RT_RNaseH_2          PF17919.8       100         1        99       8388      3670      3365   2.3e-27   92.3   0.0 41.75 -
      20 c01191_model1_7598bp -          RT_RNaseH_2          PF17919.8       100         1        99       8384      3673      3368   8.7e-27   90.4   0.0 41.75 -
      21 c01074_single        -          RT_RNaseH_2          PF17919.8       100        19        91       4788      2240      2037   3.4e-19   66.1   0.0 42.47 -
      22 c01128_single        -          RT_RNaseH_2          PF17919.8       100         1       100      13260      8178      8474   2.8e-16   56.7   0.3 28.00 -
      23 c01169_single        -          RT_RNaseH_2          PF17919.8       100         1        49       5372      4454      4600   1.4e-15   54.4   0.0 48.98 -
      24 c00936_single        -          RT_RNaseH_2          PF17919.8       100        53        99       4281      1867      1727   5.9e-14   49.3   0.0 51.06 -
      25 c01169_single        -          RT_RNaseH_2          PF17919.8       100        56        99       5372      4615      4746   1.3e-12   44.9   0.0 54.55 -
      26 c00936_single        -          RT_RNaseH_2          PF17919.8       100         1        56       4281      2019      1852   1.9e-11   41.2   0.0 42.86 -
      27 c01145_single        -          RT_RNaseH_2          PF17919.8       100        56        82       6307      5349      5429   2.9e-06   24.6   0.0 44.44 -
       1 c01128_single        -          RVP                  PF00077.26      101         2       100      13260      6303      6581   2.3e-14   50.3   0.0 27.00 -
       2 c01169_model1_5363bp -          RVP                  PF00077.26      101         6        92       5364      1704      1961   8.6e-09   32.4   0.0 25.00 -
       3 c01169_single        -          RVP                  PF00077.26      101         6        92       5372      1705      1962   5.6e-08   29.7   0.0 23.86 -
       4 c01185_model1_5844bp -          RVP                  PF00077.26      101         3        68       6503      3434      3622   8.8e-06   22.7   0.0 20.90 -
       5 c01185_single        -          RVP                  PF00077.26      101         3        68       6505      3434      3622   8.8e-06   22.7   0.0 20.90 -
       1 c01201_model1_6150bp -          rve                  PF00665.33      102         2       102       7056      2113      1820   4.6e-19   65.1   0.0 32.67 -
       2 c01168_single        -          rve                  PF00665.33      102         3       102       7049      4907      5197   6.9e-18   61.3   0.0 31.00 -
       3 c00940_single        -          rve                  PF00665.33      102         5       102       4594      2843      2553     1e-17   60.8   0.0 30.30 -
       4 c01183_model1_7363bp -          rve                  PF00665.33      102         3       102       7372      5089      5379   1.5e-17   60.2   0.0 27.00 -
       5 c01141_single        -          rve                  PF00665.33      102         4       102       7065      1988      1698   6.8e-17   58.1   0.0 32.00 -
       6 c01128_single        -          rve                  PF00665.33      102         2        88      13260      9555      9812   7.2e-17   58.0   0.0 34.09 -
       7 c00897_single        -          rve                  PF00665.33      102         2       102       8632      5886      6179   9.6e-17   57.6   0.0 29.70 -
       8 c00936_single        -          rve                  PF00665.33      102         3       102       4281      1170       880     3e-16   56.1   0.0 29.70 -
       9 c01089_single        -          rve                  PF00665.33      102         2       102       9324      6298      6591   3.1e-16   56.0   0.0 29.41 -
      10 c01173_single        -          rve                  PF00665.33      102         2       102       8036      5366      5659   5.6e-16   55.2   0.0 29.70 -
      11 c01094_single        -          rve                  PF00665.33      102         4       102       7221      4983      5270   1.1e-15   54.2   0.0 26.26 -
      12 c01145_single        -          rve                  PF00665.33      102         2       102       6307      3173      3466   1.4e-15   53.9   0.0 27.45 -
      13 c00084_single        -          rve                  PF00665.33      102         2       102       4434      3334      3630   1.6e-15   53.7   0.0 28.43 -
      14 c00264_single        -          rve                  PF00665.33      102         2       102       7735      6184      6477   2.3e-15   53.2   0.0 28.43 -
      15 c01123_single        -          rve                  PF00665.33      102         3       102       8365      2592      2302   3.2e-15   52.8   0.0 27.00 -
      16 c01203_single        -          rve                  PF00665.33      102         2       102       5220      3695      3991     1e-14   51.1   0.0 29.70 -
      17 c01196_single        -          rve                  PF00665.33      102         6       102       4487      1696      1983   1.5e-14   50.6   0.0 29.59 -
      18 c01092_single        -          rve                  PF00665.33      102         4       102       8181      5558      5845   7.5e-14   48.4   0.0 32.32 -
      19 c01086_single        -          rve                  PF00665.33      102         4       102       6905      4814      5104   9.2e-14   48.1   0.0 30.00 -
      20 c01203_model1_5207bp -          rve                  PF00665.33      102         4       102       6010      3719      4009   2.7e-13   46.6   0.0 27.27 -
      21 c01191_model1_7598bp -          rve                  PF00665.33      102        10       102       8384      2604      2335   4.1e-13   46.0   0.0 27.96 -
      22 c01169_model1_5363bp -          rve                  PF00665.33      102         5       102       5364      2589      2873   2.9e-12   43.3   0.0 25.25 -
      23 c01191_single        -          rve                  PF00665.33      102         9       102       8388      2605      2333   3.4e-11   39.8   0.0 27.66 -
      24 c01144_single        -          rve                  PF00665.33      102         2       102       9145      2962      2669     3e-10   36.8   0.0 25.49 -
      25 c01199_single        -          rve                  PF00665.33      102        22       102       7481      1659      1384   7.3e-08   29.1   0.0 20.00 -
      26 c01075_single        -          rve                  PF00665.33      102        22       100       7693      6334      6609   1.1e-07   28.6   0.0 20.00 -
      27 c00986_single        -          rve                  PF00665.33      102         4        94       7532      6038      6316     2e-07   27.8   0.0 21.88 -
      28 c01122_single        -          rve                  PF00665.33      102        14        99       7684      6107      6403   2.8e-07   27.3   0.0 21.57 -
      29 c01074_single        -          rve                  PF00665.33      102        44       100       4788      1269      1108   3.7e-07   26.9   0.0 29.82 -
      30 c01152_single        -          rve                  PF00665.33      102        14        81       6156      1469      1269   1.7e-06   24.8   0.0 20.00 -
       1 c01164_single        -          DUF1759              PF03564.22      148         1       143       7896      2281      2712   3.6e-17   59.5   0.0 20.27 -
       2 c01177_single        -          DUF1759              PF03564.22      148         1       105       7694      2151      2468   3.4e-16   56.3   0.0 23.36 -
       3 c00974_single        -          DUF1759              PF03564.22      148         1       140       3085      1295       873   1.1e-11   41.7   0.0 20.42 -
       4 c00986_single        -          DUF1759              PF03564.22      148         1       112       7532      1996      2334   1.1e-09   35.3   0.0 20.18 -
       5 c01152_single        -          DUF1759              PF03564.22      148         1       101       6156      4135      3830   5.3e-09   33.0   0.0 19.42 -
       6 c01180_model1_5136bp -          DUF1759              PF03564.22      148        30       143       5134      3254      2904   6.1e-09   32.8   0.0 26.50 -
       7 c01075_single        -          DUF1759              PF03564.22      148         1       137       7693      2210      2635   3.9e-07   26.9   0.0 17.48 -
       1 c01092_single        -          rve_3                PF13683.13       67         2        54       8181      5810      5965     7e-09   33.1   0.0 37.74 -
       2 c01201_model1_6150bp -          rve_3                PF13683.13       67         2        63       7056      1855      1676   1.8e-07   28.5   0.3 33.87 -
       3 c01183_model1_7363bp -          rve_3                PF13683.13       67         2        64       7372      5344      5523   6.7e-07   26.7   0.3 33.33 -
       4 c01094_single        -          rve_3                PF13683.13       67         2        66       7221      5235      5423   1.3e-06   25.8   0.2 30.77 -
       5 c01168_single        -          rve_3                PF13683.13       67         2        64       7049      5162      5341   5.8e-06   23.7   0.1 28.57 -
       6 c01169_model1_5363bp -          rve_3                PF13683.13       67         2        31       5364      2838      2927   7.5e-06   23.4   0.0 43.33 -
       1 c01094_single        -          gag-asp_proteas      PF13975.12       92         3        90       7221      2247      2525   3.3e-08   31.2   0.0 22.58 -
       2 c01198_single        -          gag-asp_proteas      PF13975.12       92         9        91       5485      1698      1955     5e-08   30.6   0.0 19.77 -
       3 c01191_single        -          gag-asp_proteas      PF13975.12       92         1        90       8388      5570      5265   8.3e-08   29.9   0.0 20.59 -
       4 c01203_single        -          gag-asp_proteas      PF13975.12       92         9        91       5220      1553      1810   3.5e-07   27.9   0.0 19.77 -
       5 c01089_single        -          gag-asp_proteas      PF13975.12       92         2        91       9324      3361      3666     7e-07   26.9   0.0 22.55 -
       6 c01128_single        -          gag-asp_proteas      PF13975.12       92         3        27      13260      6324      6398   1.7e-06   25.7   0.0 44.00 -
       7 c00264_single        -          gag-asp_proteas      PF13975.12       92         2        91       7735      3256      3558   2.9e-06   24.9   0.0 21.78 -
       8 c01137_single        -          gag-asp_proteas      PF13975.12       92         4        92      10779      4832      5122   2.9e-06   24.9   0.0 18.37 -
       9 c00084_single        -          gag-asp_proteas      PF13975.12       92        12        91       4434      1150      1398   3.6e-06   24.6   0.0 18.07 -
       1 c00940_single        -          gag_pre-integrs      PF13976.12       67         1        66       4594      3092      2892   6.4e-11   39.1   0.1 29.58 -
       2 c01196_single        -          gag_pre-integrs      PF13976.12       67         3        66       4487      1453      1644   3.1e-08   30.5   0.3 27.54 -
       1 c00940_single        -          Retrotran_gag_2      PF14223.15      169        21       166       4594      4217      3768   1.4e-18   63.2   0.1 23.33 -
       2 c01196_single        -          Retrotran_gag_2      PF14223.15      169        30       158       4487       378       770     2e-14   49.7   0.0 22.14 -
       1 c01201_model1_6150bp -          Integrase_H2C2       PF17921.8        59         2        58       7056      2323      2156   1.1e-24   84.3   1.6 40.35 -
       2 c01141_single        -          Integrase_H2C2       PF17921.8        59         1        58       7065      2213      2037   5.4e-24   82.1   0.1 49.15 -
       3 c01145_single        -          Integrase_H2C2       PF17921.8        59         1        57       6307      2954      3121   4.1e-23   79.2   0.1 43.86 -
       4 c00897_single        -          Integrase_H2C2       PF17921.8        59         1        57       8632      5676      5843   1.2e-22   77.8   0.0 47.37 -
       5 c00264_single        -          Integrase_H2C2       PF17921.8        59         1        58       7735      5974      6144   1.4e-21   74.3   0.0 46.55 -
       6 c01198_single        -          Integrase_H2C2       PF17921.8        59         1        59       5485      3621      3800   2.6e-21   73.5   0.1 50.00 -
       7 c01089_single        -          Integrase_H2C2       PF17921.8        59         2        58       9324      6091      6258   5.7e-21   72.4   0.0 43.86 -
       8 c01169_model1_5363bp -          Integrase_H2C2       PF17921.8        59         1        58       5364      2361      2537   7.9e-21   71.9   0.4 44.07 -
       9 c01173_single        -          Integrase_H2C2       PF17921.8        59         2        58       8036      5156      5323   1.4e-20   71.1   2.0 38.60 -
      10 c00084_single        -          Integrase_H2C2       PF17921.8        59         1        58       4434      3112      3288   2.1e-20   70.6   0.1 38.98 -
      11 c01203_model1_5207bp -          Integrase_H2C2       PF17921.8        59         1        58       6010      3491      3667   4.8e-20   69.4   0.2 37.29 -
      12 c01203_single        -          Integrase_H2C2       PF17921.8        59         1        58       5220      3473      3649   5.7e-20   69.2   0.1 38.98 -
      13 c01144_single        -          Integrase_H2C2       PF17921.8        59         2        57       9145      3169      3005   3.9e-19   66.5   0.1 41.07 -
      14 c01092_single        -          Integrase_H2C2       PF17921.8        59         1        58       8181      5339      5509   1.1e-17   61.9   0.1 37.93 -
      15 c01123_single        -          Integrase_H2C2       PF17921.8        59         2        57       8365      2805      2641   2.7e-17   60.6   0.1 37.50 -
      16 c01086_single        -          Integrase_H2C2       PF17921.8        59         8        57       6905      4610      4762   3.5e-17   60.3   3.6 33.33 -
      17 c01168_single        -          Integrase_H2C2       PF17921.8        59         1        58       7049      4691      4861   9.9e-17   58.8   0.1 37.93 -
      18 c00936_single        -          Integrase_H2C2       PF17921.8        59         1        58       4281      1383      1216   1.8e-16   57.9   0.2 34.48 -
      19 c01094_single        -          Integrase_H2C2       PF17921.8        59         2        59       7221      4770      4940   2.2e-16   57.7   0.9 36.21 -
      20 c01183_model1_7363bp -          Integrase_H2C2       PF17921.8        59         1        58       7372      4873      5043   9.7e-16   55.6   0.1 32.76 -
      21 c01191_single        -          Integrase_H2C2       PF17921.8        59         2        53       8388      2836      2684   6.8e-15   52.9   0.8 34.62 -
      22 c00986_single        -          Integrase_H2C2       PF17921.8        59         7        58       7532      5825      5977   9.2e-14   49.3   1.2 32.69 -
      23 c01074_single        -          Integrase_H2C2       PF17921.8        59         1        56       4788      1578      1420   1.7e-13   48.4   1.1 33.93 -
      24 c01122_single        -          Integrase_H2C2       PF17921.8        59         6        58       7684      5858      6013   2.5e-11   41.5   0.5 28.30 -
      25 c01152_single        -          Integrase_H2C2       PF17921.8        59         7        57       6156      1715      1566   2.6e-11   41.5   3.4 29.41 -
      26 c01191_model1_7598bp -          Integrase_H2C2       PF17921.8        59         4        42       8384      2830      2717     5e-11   40.6   0.5 33.33 -
      27 c01075_single        -          Integrase_H2C2       PF17921.8        59         6        57       7693      6061      6213   4.9e-10   37.4   1.4 23.08 -
      28 c01199_single        -          Integrase_H2C2       PF17921.8        59         7        57       7481      1935      1783   2.1e-09   35.4   1.3 28.85 -
      29 c01122_model1_6171bp -          Integrase_H2C2       PF17921.8        59        10        55       7697      5872      6006   8.7e-09   33.4   4.2 30.43 -
      30 c01128_single        -          Integrase_H2C2       PF17921.8        59         2        56      13260      9351      9506   3.3e-08   31.5   1.5 25.45 -
      31 c01184_single        -          Integrase_H2C2       PF17921.8        59         5        58       7687      5781      5939     1e-07   29.9   0.5 24.07 -
      32 c01176_single        -          Integrase_H2C2       PF17921.8        59         6        58       6062      1753      1595   1.6e-07   29.3   1.6 29.63 -
      33 c01177_single        -          Integrase_H2C2       PF17921.8        59         7        57       7694      6005      6157   3.9e-07   28.1   0.6 26.92 -
       1 c01203_single        -          Ty3_capsid           PF19259.5       198        28       169       5220       732      1157   1.6e-11   40.3   0.0 20.69 -
       2 c00084_single        -          Ty3_capsid           PF19259.5       198        40       169       4434       356       739     2e-11   40.1   0.0 16.67 -
       3 c01203_model1_5207bp -          Ty3_capsid           PF19259.5       198        40       169       6010      5592      5975   2.8e-11   39.6   0.0 16.67 -
       4 c01198_single        -          Ty3_capsid           PF19259.5       198        19       168       5485       841      1284   5.7e-11   38.6   0.0 20.26 -
       5 c01203_model1_5207bp -          Ty3_capsid           PF19259.5       198        43       169       6010       804      1178   1.9e-09   33.6   0.0 21.09 -
       1 c00936_single        -          DUF7041              PF23055.2        85         1        69       4281      4010      3807   1.6e-15   54.6   0.0 34.78 -
       1 c01196_single        -          SH3_retrovirus       PF25597.2        66         1        63       4487      2200      2382   6.8e-15   52.3   0.8 36.51 -
       2 c00940_single        -          SH3_retrovirus       PF25597.2        66         2        52       4594      2333      2187   1.4e-13   48.0   0.7 41.18 -
       1 c01029_single        -          Exo_endo_phos        PF03372.30      224         1       224       5691      1369      2031   1.8e-17   57.9   0.0 18.60 -
       2 c01114_single        -          Exo_endo_phos        PF03372.30      224         4       224       3467       566      1156   1.2e-14   48.7   0.0 15.25 -
       3 c01021_single        -          Exo_endo_phos        PF03372.30      224         4       224       5105      1652      2263   4.2e-09   30.6   0.3 19.38 -
       1 c01114_single        -          Exo_endo_phos_2      PF14529.13      117         4       116       3467       860      1165   8.9e-09   32.0   0.0 19.83 -
       2 c01021_single        -          Exo_endo_phos_2      PF14529.13      117         3       116       5105      1958      2272   8.8e-08   28.8   0.1 18.80 -
       1 c00632_single        -          GIY-YIG              PF01541.31       78         3        70        461        23       232   6.8e-08   29.8   0.5 24.66 -
       1 c00884_single        -          DDE_3                PF13358.13      146        95       137       4222      1554      1685   6.9e-08   28.7   0.0 25.00 -
       1 c01198_single        -          PEG10_N-capsid       PF03732.25       79         4        78       5485       826      1053   1.2e-10   38.8   0.0 21.05 -
